,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
27,2020-02-27,21900875,Final,1610612760,1610612758,2019,1610612760,112.0,0.488,0.7240000000000001,0.34600000000000003,20.0,37.0,1610612758,108.0,0.451,1.0,0.34299999999999997,30.0,45.0,1
28,2020-02-27,21900876,Final,1610612744,1610612747,2019,1610612744,86.0,0.425,0.9,0.281,27.0,37.0,1610612747,116.0,0.511,0.667,0.33299999999999996,24.0,44.0,0
29,2020-02-26,21900864,Final,1610612766,1610612752,2019,1610612766,107.0,0.47,0.76,0.33299999999999996,25.0,37.0,1610612752,101.0,0.506,0.647,0.267,22.0,42.0,1
30,2020-02-26,21900865,Final,1610612739,1610612755,2019,1610612739,108.0,0.526,0.882,0.45799999999999996,24.0,48.0,1610612755,94.0,0.40399999999999997,0.643,0.342,22.0,31.0,1
31,2020-02-26,21900866,Final,1610612764,1610612751,2019,1610612764,110.0,0.42700000000000005,0.813,0.385,22.0,39.0,1610612751,106.0,0.414,0.6859999999999999,0.278,15.0,56.0,1
32,2020-02-26,21900867,Final,1610612737,1610612753,2019,1610612737,120.0,0.447,0.92,0.361,30.0,42.0,1610612753,130.0,0.49,0.72,0.43799999999999994,30.0,52.0,0
33,2020-02-26,21900868,Final,1610612748,1610612750,2019,1610612748,126.0,0.526,0.767,0.423,30.0,43.0,1610612750,129.0,0.516,0.72,0.37,28.0,33.0,0
34,2020-02-26,21900870,Final,1610612745,1610612763,2019,1610612745,140.0,0.5589999999999999,0.867,0.46,22.0,44.0,1610612763,112.0,0.39799999999999996,0.619,0.33299999999999996,28.0,49.0,1
35,2020-02-26,21900869,Final,1610612759,1610612742,2019,1610612759,103.0,0.424,0.737,0.33299999999999996,22.0,55.0,1610612742,109.0,0.419,0.667,0.37799999999999995,25.0,43.0,0
36,2020-02-26,21900871,Final,1610612756,1610612746,2019,1610612756,92.0,0.391,0.833,0.265,29.0,48.0,1610612746,102.0,0.44,0.9329999999999999,0.368,22.0,46.0,0
37,2020-02-26,21900872,Final,1610612762,1610612738,2019,1610612762,103.0,0.449,0.733,0.3,16.0,41.0,1610612738,114.0,0.536,0.813,0.423,21.0,44.0,0
38,2020-02-25,21900857,Final,1610612754,1610612766,2019,1610612754,119.0,0.57,0.846,0.435,35.0,56.0,1610612766,80.0,0.33299999999999996,0.444,0.303,22.0,39.0,1
39,2020-02-25,21900858,Final,1610612761,1610612749,2019,1610612761,97.0,0.35200000000000004,0.7140000000000001,0.34600000000000003,21.0,43.0,1610612749,108.0,0.381,0.833,0.33299999999999996,23.0,53.0,0
40,2020-02-25,21900859,Final,1610612741,1610612760,2019,1610612741,122.0,0.536,0.667,0.387,22.0,39.0,1610612760,124.0,0.5529999999999999,0.743,0.467,25.0,37.0,0
41,2020-02-25,21900860,Final,1610612743,1610612765,2019,1610612743,115.0,0.579,0.818,0.474,33.0,41.0,1610612765,98.0,0.40700000000000003,0.81,0.366,24.0,33.0,1
42,2020-02-25,21900861,Final,1610612747,1610612740,2019,1610612747,118.0,0.441,0.7140000000000001,0.295,27.0,51.0,1610612740,109.0,0.45299999999999996,0.767,0.29600000000000004,31.0,45.0,1
43,2020-02-25,21900862,Final,1610612757,1610612738,2019,1610612757,106.0,0.447,0.7390000000000001,0.419,24.0,41.0,1610612738,118.0,0.478,0.929,0.48700000000000004,19.0,45.0,0
44,2020-02-25,21900863,Final,1610612744,1610612758,2019,1610612744,94.0,0.44299999999999995,0.833,0.14300000000000002,21.0,34.0,1610612758,112.0,0.526,0.5589999999999999,0.433,25.0,40.0,0
45,2020-02-24,21900849,Final,1610612739,1610612748,2019,1610612739,125.0,0.44299999999999995,0.735,0.37799999999999995,25.0,53.0,1610612748,119.0,0.45799999999999996,0.75,0.381,33.0,49.0,1
