,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
16196,2019-06-13,41800406,Final,1610612744,1610612761,2018,1610612744,110.0,0.488,0.7,0.355,28.0,42.0,1610612761,114.0,0.47600000000000003,0.7929999999999999,0.39399999999999996,25.0,39.0,0
16197,2019-06-10,41800405,Final,1610612761,1610612744,2018,1610612761,105.0,0.447,0.778,0.25,19.0,43.0,1610612744,106.0,0.46299999999999997,0.7140000000000001,0.47600000000000003,27.0,37.0,0
16198,2019-06-07,41800404,Final,1610612744,1610612761,2018,1610612744,92.0,0.449,0.667,0.29600000000000004,26.0,42.0,1610612761,105.0,0.419,0.958,0.313,22.0,39.0,0
16199,2019-06-05,41800403,Final,1610612744,1610612761,2018,1610612744,109.0,0.396,0.833,0.33299999999999996,25.0,41.0,1610612761,123.0,0.524,0.9520000000000001,0.447,30.0,40.0,0
16200,2019-06-02,41800402,Final,1610612761,1610612744,2018,1610612761,104.0,0.3720000000000001,0.885,0.289,17.0,49.0,1610612744,109.0,0.46299999999999997,0.87,0.382,34.0,42.0,0
16201,2019-05-30,41800401,Final,1610612761,1610612744,2018,1610612761,118.0,0.506,0.8440000000000001,0.39399999999999996,25.0,36.0,1610612744,109.0,0.436,0.935,0.387,29.0,38.0,1
16202,2019-05-25,41800306,Final,1610612761,1610612749,2018,1610612761,100.0,0.486,0.727,0.444,20.0,38.0,1610612749,94.0,0.4,0.71,0.353,19.0,42.0,1
16203,2019-05-23,41800305,Final,1610612749,1610612761,2018,1610612749,99.0,0.452,0.722,0.32299999999999995,26.0,53.0,1610612761,105.0,0.369,0.8059999999999999,0.419,19.0,45.0,0
16204,2019-05-21,41800304,Final,1610612761,1610612749,2018,1610612761,120.0,0.47100000000000003,0.889,0.341,32.0,44.0,1610612749,102.0,0.46299999999999997,0.654,0.314,30.0,40.0,1
16205,2019-05-20,41800314,Final,1610612757,1610612744,2018,1610612757,117.0,0.48,0.7,0.39,31.0,38.0,1610612744,119.0,0.465,0.789,0.308,30.0,56.0,0
16206,2019-05-19,41800303,Final,1610612761,1610612749,2018,1610612761,118.0,0.392,0.8079999999999999,0.37799999999999995,28.0,55.0,1610612749,112.0,0.373,0.667,0.318,22.0,63.0,1
16207,2019-05-18,41800313,Final,1610612757,1610612744,2018,1610612757,99.0,0.4,0.606,0.314,22.0,41.0,1610612744,110.0,0.488,0.87,0.308,27.0,49.0,0
16208,2019-05-17,41800302,Final,1610612749,1610612761,2018,1610612749,125.0,0.467,0.743,0.317,27.0,53.0,1610612761,103.0,0.425,0.76,0.313,19.0,40.0,1
16209,2019-05-16,41800312,Final,1610612744,1610612757,2018,1610612744,114.0,0.512,0.778,0.31,30.0,50.0,1610612757,111.0,0.442,0.9440000000000001,0.462,23.0,37.0,1
16210,2019-05-15,41800301,Final,1610612749,1610612761,2018,1610612749,108.0,0.39799999999999996,0.852,0.25,21.0,60.0,1610612761,100.0,0.37,0.85,0.35700000000000004,17.0,46.0,1
16211,2019-05-14,41800311,Final,1610612744,1610612757,2018,1610612744,116.0,0.5,0.833,0.515,30.0,42.0,1610612757,94.0,0.361,0.871,0.25,21.0,47.0,1
16212,2019-05-12,41800237,Final,1610612743,1610612757,2018,1610612743,96.0,0.371,0.718,0.105,15.0,51.0,1610612757,100.0,0.409,0.833,0.154,16.0,55.0,0
16213,2019-05-12,41800217,Final,1610612761,1610612755,2018,1610612761,92.0,0.382,0.895,0.233,15.0,49.0,1610612755,90.0,0.431,0.833,0.33299999999999996,16.0,41.0,1
